20260312 060100;6770.25;6770.25;6769.75;6770.25;7
20260312 060200;6769;6769.5;6767.25;6767.75;11
20260312 060300;6768.25;6769.25;6768.25;6769;9
20260312 060400;6769.5;6770;6769.5;6770;2
20260312 060500;6769.75;6770;6768.5;6770;7
20260312 060600;6769.75;6769.75;6769.75;6769.75;1
20260312 060700;6769.25;6769.25;6768.75;6768.75;4
20260312 060800;6769;6769;6767.75;6767.75;2
20260312 060900;6767.5;6767.75;6767.25;6767.75;3
20260312 061000;6767.75;6768.25;6767.75;6768.25;6
20260312 061100;6767.25;6768.25;6766.5;6766.5;8
20260312 061200;6766.75;6767.5;6766.5;6766.5;4
20260312 061300;6767.25;6767.25;6766.75;6766.75;3
20260312 061400;6767.5;6768.25;6767.5;6767.5;8
20260312 061500;6766.75;6766.75;6766;6766.5;6
20260312 061600;6768.25;6768.75;6768;6768.25;7
20260312 061700;6768.75;6770.25;6768.75;6769.25;11
20260312 061800;6769.75;6770;6769.5;6769.5;4
20260312 061900;6769;6769;6768;6768.25;7
20260312 062000;6768.25;6768.25;6768;6768;3
20260312 062100;6768;6768;6768;6768;2
20260312 062200;6769.25;6770.75;6769.25;6770.75;4
20260312 062300;6771.25;6771.25;6771;6771;5
20260312 062400;6771.5;6772.5;6771.5;6771.75;4
20260312 062500;6772.75;6773;6771.25;6771.75;8
20260312 062600;6772.75;6774;6769.25;6771.5;130
20260312 062700;6771.25;6775.25;6770.25;6773.75;126
20260312 062800;6773.75;6774.25;6773.25;6774;16
20260312 062900;6773.25;6773.25;6772.75;6772.75;9
20260312 063000;6773.5;6774.5;6773;6773.75;8
20260312 063100;6775;6775.25;6773.5;6774.25;14
20260312 063200;6773.75;6773.75;6773.75;6773.75;1
20260312 063300;6774;6775;6773.75;6775;7
20260312 063400;6774.5;6775;6774.5;6774.75;3
20260312 063500;6776;6776.5;6775.75;6775.75;12
20260312 063600;6776.5;6776.5;6775.75;6775.75;4
20260312 063700;6776.75;6776.75;6776.5;6776.5;4
20260312 063800;6775.75;6776.75;6775.75;6776.75;9
20260312 063900;6777;6777;6777;6777;1
20260312 064000;6775.75;6775.75;6775.75;6775.75;1
20260312 064100;6775.5;6777;6775;6777;21
20260312 064200;6776.5;6776.5;6775.5;6775.5;3
20260312 064300;6775.25;6776;6775.25;6775.75;3
20260312 064400;6776;6776;6775.75;6775.75;3
20260312 064500;6776.5;6777.75;6776.5;6777.5;11
20260312 064600;6777.75;6777.75;6776.75;6777.25;8
20260312 064700;6777.5;6777.75;6777;6777;6
20260312 064800;6777.5;6779.25;6777.25;6779.25;20
20260312 064900;6779;6780;6779;6779.5;18
20260312 065000;6777;6778.25;6777;6777.75;8
20260312 065100;6778.25;6779.5;6778.25;6779.5;11
20260312 065200;6778.75;6779.25;6778.75;6779;9
20260312 065300;6779.75;6779.75;6779.25;6779.5;5
20260312 065400;6779;6781;6779;6780;12
20260312 065500;6780;6781;6779.75;6781;11
20260312 065600;6781.25;6781.5;6779.75;6779.75;13
20260312 065700;6779.5;6780.25;6779.5;6780.25;4
20260312 065800;6780;6780;6779.75;6779.75;5
20260312 065900;6779.25;6780;6779.25;6780;3
20260312 070000;6779.75;6780.5;6779.75;6780.5;2
20260312 070100;6780.5;6783.5;6780.25;6783.5;24
20260312 070200;6783.25;6783.25;6783;6783.25;6
20260312 070300;6784.25;6784.25;6783;6783.25;11
20260312 070400;6783;6783.25;6782.75;6783;10
20260312 070500;6783.25;6784;6782.5;6782.5;16
20260312 070600;6783;6783.5;6782.5;6783.25;11
20260312 070700;6783.25;6783.5;6782.25;6782.25;25
20260312 070800;6781.75;6782.75;6781.25;6782.5;14
20260312 070900;6782.75;6782.75;6781.5;6781.5;11
20260312 071000;6781.5;6782.75;6781.5;6781.5;12
20260312 071100;6781;6782.75;6781;6782.5;52
20260312 071200;6783;6784;6782.25;6782.25;12
20260312 071300;6782.75;6783.25;6782;6783;20
20260312 071400;6783.25;6783.25;6781.75;6781.75;12
20260312 071500;6783.25;6784.5;6783;6784;47
20260312 071600;6784.25;6784.75;6783.75;6784.25;6
20260312 071700;6784;6786;6784;6786;11
20260312 071800;6785.75;6785.75;6783.25;6783.25;19
20260312 071900;6784.5;6785;6783.75;6785;8
20260312 072000;6783.5;6784.5;6783.5;6784.25;10
20260312 072100;6784.5;6786.75;6784.5;6786.75;11
20260312 072200;6786.5;6786.5;6784.75;6784.75;10
20260312 072400;6783.5;6785;6783.5;6784.5;13
20260312 072500;6784.75;6784.75;6784.25;6784.5;4
20260312 072600;6785;6786.25;6784.25;6786.25;18
20260312 072700;6787.25;6788.25;6786.75;6787.75;13
20260312 072800;6787.75;6787.75;6786.5;6787.5;12
20260312 072900;6787.5;6787.5;6786.25;6786.25;6
20260312 073000;6786.25;6786.75;6786.25;6786.75;2
20260312 073100;6785.75;6785.75;6784.25;6784.25;6
20260312 073200;6784.75;6784.75;6784;6784;5
20260312 073300;6783.25;6783.5;6782.25;6782.5;24
20260312 073400;6783;6783.5;6783;6783;5
20260312 073500;6784;6784;6783;6783.5;6
20260312 073600;6782.25;6782.25;6782;6782.25;6
20260312 073700;6781.5;6783;6781.5;6782.75;9
20260312 073800;6783.75;6785.5;6783.75;6785;14
20260312 073900;6785.25;6786.25;6784.5;6786.25;19
20260312 074000;6787;6787;6785.5;6786.25;20
20260312 074100;6785.75;6787.25;6785.75;6786;12
20260312 074200;6785.75;6786;6785.75;6786;4
20260312 074300;6786.25;6786.75;6785.25;6786.75;15
20260312 074400;6786;6787;6786;6786.75;13
20260312 074500;6787.25;6787.25;6786.5;6786.75;5
20260312 074600;6786.75;6786.75;6786.5;6786.5;6
20260312 074700;6786.5;6786.5;6786;6786;9
20260312 074800;6787;6787.5;6787;6787;10
20260312 074900;6787;6787;6786;6786.75;8
20260312 075000;6786;6787;6786;6786.75;14
20260312 075100;6787;6787;6785.5;6785.5;9
20260312 075200;6784;6784.75;6782.75;6784.75;9
20260312 075300;6785;6787;6785;6786.75;34
20260312 075400;6786.5;6790.5;6786.5;6789.5;47
20260312 075500;6790.5;6791.25;6790;6791;36
20260312 075600;6791.25;6795.25;6791.25;6795.25;51
20260312 075700;6795;6796.25;6794;6795;19
20260312 075800;6794.75;6794.75;6793.25;6794.5;17
20260312 075900;6794.5;6794.5;6793;6793.25;20
20260312 080000;6792.5;6795.25;6792.5;6795.25;8
20260312 080100;6796.25;6800.25;6795.75;6800.25;101
20260312 080200;6801;6801.5;6799;6799;97
20260312 080300;6798.25;6802.5;6798.25;6802.5;160
20260312 080400;6803;6805;6802.75;6804.5;65
20260312 080500;6804.75;6805;6803.75;6804;63
20260312 080600;6804;6805.75;6803;6805.5;67
20260312 080700;6805;6805.5;6803.25;6803.25;54
20260312 080800;6804;6805;6803;6803.5;81
20260312 080900;6803.75;6806.25;6803;6806.25;64
20260312 081000;6806.5;6807.25;6806;6806.25;48
20260312 081100;6806.75;6807;6804.75;6805;26
20260312 081200;6803.75;6804.5;6803;6803.25;13
20260312 081300;6803.25;6803.25;6802;6802.25;14
20260312 081400;6802.75;6803.5;6801;6801.75;65
20260312 081500;6802;6803.25;6800.75;6800.75;76
20260312 081600;6801.25;6801.25;6799.5;6800.75;48
20260312 081700;6801.5;6802.5;6800;6800.5;71
20260312 081800;6800.75;6803.5;6799.5;6802.5;91
20260312 081900;6802.5;6804.5;6802.25;6803.25;94
20260312 082000;6803;6805;6802.5;6804.5;142
20260312 082100;6804;6804;6800.25;6800.25;50
20260312 082200;6800.25;6802.25;6800.25;6802.25;41
20260312 082300;6801.75;6801.75;6799.75;6801.5;28
20260312 082400;6801.75;6802.25;6799;6800.25;26
20260312 082500;6800;6800.5;6799;6799;24
20260312 082600;6799;6799.75;6798.5;6799.5;31
20260312 082700;6799;6799.5;6798;6799;44
20260312 082800;6799.25;6800.5;6798.25;6798.5;26
20260312 082900;6798.5;6798.5;6796.5;6796.5;28
20260312 083000;6797;6797.75;6796.25;6796.25;39
20260312 083100;6795.25;6799;6795.25;6799;47
20260312 083200;6799;6799;6797.5;6798.25;12
20260312 083300;6798.75;6799;6798;6799;17
20260312 083400;6798.75;6800.5;6798.75;6799;22
20260312 083500;6799;6800;6797.75;6798.5;29
20260312 083600;6798.75;6800.25;6798.25;6798.75;28
20260312 083700;6798;6798.75;6798;6798.5;23
20260312 083800;6798.5;6798.5;6796.75;6797.75;18
20260312 083900;6797.5;6797.5;6796.25;6796.75;28
20260312 084000;6796.75;6797;6794.5;6795;54
20260312 084100;6794.75;6794.75;6793.5;6793.75;23
20260312 084200;6793.75;6793.75;6790.75;6791.25;53
20260312 084300;6791.5;6794;6791.5;6794;20
20260312 084400;6794.5;6797.5;6794.5;6797.5;15
20260312 084500;6797.5;6800;6797.5;6800;22
20260312 084600;6800.5;6800.5;6799;6800.25;24
20260312 084700;6799.75;6800.5;6798.75;6798.75;12
20260312 084800;6797.75;6798;6796.5;6797.75;17
20260312 084900;6797.5;6799.5;6796.5;6799.5;12
20260312 085000;6799.75;6802.75;6799.75;6802.5;33
20260312 085100;6803;6804;6802.5;6803.75;37
20260312 085200;6803.75;6804;6803;6803.75;19
20260312 085300;6803.5;6803.75;6802.25;6802.25;12
20260312 085400;6803;6803.5;6802;6802;13
20260312 085500;6801.5;6801.75;6799.5;6800;34
20260312 085600;6799.5;6800.75;6799.5;6800;12
20260312 085700;6800.25;6800.75;6798.75;6799.5;8
20260312 085800;6800.25;6800.25;6798.75;6798.75;17
20260312 085900;6799.25;6799.5;6798.75;6799.5;7
20260312 090000;6799.75;6800.75;6799.75;6800.5;7
20260312 090100;6800.75;6802.5;6797;6797.25;121
20260312 090200;6796.75;6797.5;6795.5;6795.5;65
20260312 090300;6796;6797.25;6796;6796.75;17
20260312 090400;6796.5;6796.75;6794.75;6796.75;23
20260312 090500;6796.25;6797.5;6796;6797.5;6
20260312 090600;6797;6797;6796.5;6796.5;9
20260312 090700;6795.5;6795.5;6794;6794;13
20260312 090800;6794;6795.75;6793.25;6795;29
20260312 090900;6795;6795;6794.5;6794.5;25
20260312 091000;6794.75;6795;6793.75;6793.75;45
20260312 091100;6794;6794.25;6793.25;6793.5;30
20260312 091200;6792.75;6794.75;6792.75;6794.75;18
20260312 091300;6794.75;6794.75;6792;6792;15
20260312 091400;6791.5;6792;6791.25;6791.25;9
20260312 091500;6790.75;6791.25;6789.5;6790.5;40
20260312 091600;6790.5;6791;6789.5;6790.25;18
20260312 091700;6791.5;6791.5;6789.25;6789.25;18
20260312 091800;6789.75;6791.5;6789.5;6791;29
20260312 091900;6790.5;6790.5;6789.5;6789.75;21
20260312 092000;6790.25;6790.5;6788;6788;17
20260312 092100;6788.5;6788.5;6784.75;6785;34
20260312 092200;6785;6787.25;6784.75;6787.25;68
20260312 092300;6787;6787.75;6785.25;6785.25;21
20260312 092400;6786;6789.25;6786;6789.25;11
20260312 092500;6790;6790.25;6789.25;6789.5;14
20260312 092600;6790.25;6792.25;6789.25;6792.25;22
20260312 092700;6792.5;6793.5;6792.5;6793.5;16
20260312 092800;6793;6793.5;6792.5;6793;19
20260312 092900;6792.25;6792.25;6791.5;6792;14
20260312 093000;6792.5;6794.25;6791.5;6794.25;23
20260312 093100;6794;6796.25;6794;6794.25;44
20260312 093200;6795.25;6796.25;6795;6795;11
20260312 093300;6794.75;6797;6794;6797;20
20260312 093400;6796.25;6796.75;6795.5;6796.5;19
20260312 093500;6795.75;6797.75;6795.75;6797.75;8
20260312 093600;6797.25;6798.5;6795;6796.5;21
20260312 093700;6796.75;6798.25;6796.75;6798.25;11
20260312 093800;6798.25;6799;6797.75;6798.75;18
20260312 093900;6798.25;6798.25;6797.75;6798;13
20260312 094000;6799;6800;6798.5;6800;37
20260312 094100;6799.75;6804.75;6799.5;6802.25;104
20260312 094200;6802;6804;6800.75;6803.75;39
20260312 094300;6803.25;6805;6802.75;6803.75;25
20260312 094400;6804.25;6804.75;6804;6804;12
20260312 094500;6804.25;6807;6804;6806.25;28
20260312 094600;6806;6806.5;6805.75;6806.5;20
20260312 094700;6806.5;6806.5;6803;6804;39
20260312 094800;6803.25;6804;6803.25;6803.75;16
20260312 094900;6803.75;6805.75;6803.5;6805.75;15
20260312 095000;6805.5;6805.75;6803.75;6803.75;14
20260312 095100;6803.75;6804.5;6803.5;6803.5;13
20260312 095200;6805.5;6807;6805.5;6806.75;11
20260312 095300;6807.25;6808.25;6806.75;6806.75;26
20260312 095400;6807;6808.5;6806;6808.5;19
20260312 095500;6808.75;6808.75;6807.5;6807.75;17
20260312 095600;6807.75;6809;6807.75;6808;26
20260312 095700;6807.75;6807.75;6806.75;6807.25;9
20260312 095800;6807.25;6807.75;6806.75;6807.25;20
20260312 095900;6807.25;6807.5;6806.5;6807.25;10
20260312 100000;6807;6808.25;6807;6808.25;32
20260312 100100;6808;6809.75;6807.75;6809.75;25
20260312 100200;6810;6810.25;6807.75;6807.75;37
20260312 100300;6807;6808.75;6806.5;6807.5;18
20260312 100400;6807.25;6807.5;6806.75;6807.5;12
20260312 100500;6807.75;6808.5;6807.75;6808.5;2
20260312 100600;6806.75;6807.5;6806;6807.25;43
20260312 100700;6807.75;6807.75;6805.5;6806;11
20260312 100800;6805.5;6806;6805.5;6805.75;13
20260312 100900;6805.25;6805.25;6804.5;6804.75;20
20260312 101000;6804.25;6804.25;6802.75;6803;13
20260312 101100;6803.25;6804.75;6802.5;6804.75;8
20260312 101200;6804.75;6804.75;6804.25;6804.25;4
20260312 101300;6804.75;6804.75;6804.25;6804.25;4
20260312 101400;6804.75;6804.75;6803.25;6803.25;7
20260312 101500;6803.75;6806.25;6803.25;6806;13
20260312 101600;6805.5;6805.75;6802.75;6802.75;13
20260312 101700;6803.25;6804;6802.75;6803;19
20260312 101800;6802.75;6803.25;6801.75;6802.75;9
20260312 101900;6803;6803.25;6802.75;6803.25;10
20260312 102000;6803.75;6804.5;6803.75;6804.5;5
20260312 102100;6804.25;6805;6803.25;6803.5;219
20260312 102200;6803.75;6805.25;6803.25;6805.25;12
20260312 102300;6804;6804;6801.75;6802.5;54
20260312 102400;6802.5;6802.75;6802;6802;11
20260312 102500;6802;6802;6801.5;6802;10
20260312 102600;6802.25;6803;6802.25;6802.5;6
20260312 102700;6802.5;6802.5;6801;6801.5;19
20260312 102800;6801;6801.25;6800.5;6801;9
20260312 102900;6801;6802.5;6801;6802.25;17
20260312 103000;6803;6803;6803;6803;1
20260312 103100;6802;6810.75;6802;6806.75;342
20260312 103200;6806.75;6806.75;6803.5;6804;28
20260312 103300;6803.75;6804.25;6803.5;6803.75;14
20260312 103400;6803.5;6804.25;6803.5;6803.75;10
20260312 103500;6804.25;6805.5;6804.25;6805.5;14
20260312 103600;6805.75;6805.75;6803;6803;17
20260312 103700;6802.75;6804.25;6802.5;6804.25;17
20260312 103800;6804.25;6804.25;6802.25;6803;16
20260312 103900;6803;6803;6802;6803;13
20260312 104000;6802.75;6802.75;6802;6802.25;10
20260312 104100;6803;6803;6800.5;6800.5;11
20260312 104200;6801.5;6801.5;6799.25;6799.75;15
20260312 104300;6800.25;6802;6800.25;6802;14
20260312 104400;6802.5;6802.5;6800.5;6801;7
20260312 104500;6801;6801.75;6801;6801.5;7
20260312 104600;6801;6801;6800.75;6801;5
20260312 104700;6801.75;6802.25;6801;6802.25;13
20260312 104800;6803;6803.75;6803;6803;18
20260312 104900;6803.5;6805;6803.25;6804;12
20260312 105000;6803.75;6804.25;6802.75;6803.25;34
20260312 105100;6803.25;6804;6803;6804;6
20260312 105200;6803.5;6803.5;6803.5;6803.5;1
20260312 105300;6801;6801;6800;6800.25;16
20260312 105400;6799.5;6799.5;6798;6798.25;38
20260312 105500;6797.75;6798.75;6797.25;6798.75;16
20260312 105600;6798.75;6799.25;6798.75;6799.25;5
20260312 105700;6799.25;6799.25;6798;6798;12
20260312 105800;6798.5;6799.5;6797.75;6799.5;40
20260312 105900;6799.25;6799.25;6798.75;6799.25;13
20260312 110000;6799.75;6800;6799.25;6799.5;10
20260312 110100;6798.75;6799.25;6796.5;6799.25;17
20260312 110200;6799;6799.75;6798.25;6798.5;20
20260312 110300;6798.75;6798.75;6795;6795.5;7
20260312 110400;6795.75;6796;6794.25;6795;25
20260312 110500;6795.5;6795.75;6794;6794.25;28
20260312 110600;6793.75;6794.5;6793;6794;35
20260312 110700;6794.5;6795.5;6794.25;6795;21
20260312 110800;6794.75;6794.75;6793.75;6794;8
20260312 110900;6793;6793.5;6792.75;6793.5;11
20260312 111000;6793.75;6793.75;6792.75;6793.25;13
20260312 111100;6793.25;6794;6793.25;6794;2
20260312 111200;6793.5;6794.25;6793.25;6793.75;19
20260312 111300;6794.5;6794.75;6793.5;6793.5;11
20260312 111400;6793.75;6794.75;6793.75;6794;17
20260312 111500;6794.5;6794.75;6793;6793;24
20260312 111600;6793.75;6794.25;6793.75;6794;15
20260312 111700;6795;6795;6794.5;6794.75;15
20260312 111800;6794.75;6797.25;6794.75;6796.5;83
20260312 111900;6796.25;6797;6794.75;6795.5;96
20260312 112000;6795.75;6796.5;6795.75;6796.5;22
20260312 112100;6796.75;6796.75;6796.25;6796.75;19
20260312 112200;6797.75;6799.5;6797.5;6799.5;23
20260312 112300;6799.5;6799.5;6798.25;6798.25;17
20260312 112400;6798.5;6799.25;6797.5;6798.75;27
